"","x","y","ndvi","ignorance","distances","INTERSECTION","try"
"61",4367999.37548101,2293161.52742334,0.400347640996548,13.8025131225586,3040.2184842222,FALSE,"7"
"62",4341968.47803627,2300619.18655526,0.188295437919305,2.29046392440796,3040.2184842222,FALSE,"7"
"63",4354030.35402776,2285748.2215394,0.190764055390673,19.7427806854248,3040.2184842222,FALSE,"7"
"64",4350806.78418119,2301544.55859351,0.344273321182785,17.4002170562744,3040.2184842222,FALSE,"7"
"65",4358117.46912839,2291465.76739518,0.388547844621829,12.4038829803467,3040.2184842222,FALSE,"7"
"66",4359154.52978746,2288238.10385076,-0.0468887586481088,12.4038829803467,3040.2184842222,FALSE,"7"
"67",4346547.83318458,2301940.72420785,-0.106978902984518,15.9576120376587,3040.2184842222,FALSE,"7"
"68",4364316.04023444,2291293.73397734,0.326685707255203,15.5732955932617,3040.2184842222,FALSE,"7"
"69",4349598.85295012,2298754.60687837,0.276015318346916,15.9576120376587,3040.2184842222,FALSE,"7"
"70",4360733.27622859,2281434.10854058,0.209122196741542,23.5542697906494,3040.2184842222,FALSE,"7"
