"X","Taxon","longitude","latitude","uncertainty","year"
117,"Spiranthes spiralis (L.) Chevall.",11.145667,42.411119,1784.12411615277,1882
118,"Spiranthes spiralis (L.) Chevall.",11.145667,42.411119,1784.12411615277,1993
119,"Hieracium racemosum Waldst. & Kit. ex Willd.",11.39169,42.889722,1784.12411615277,2000
120,"Hieracium racemosum Waldst. & Kit. ex Willd.",11.341209,43.636776,1784.12411615277,2002
121,"Dittrichia viscosa (L.) Greuter subsp. viscosa",12.111849,43.568853,1784.12411615277,2004
122,"Tradescantia fluminensis Vell.",10.15032,44.037683,1784.12411615277,1978
123,"Calluna vulgaris (L.) Hull",10.507515,44.165314,1784.12411615277,2005
124,"Calluna vulgaris (L.) Hull",11.178384,43.158398,1784.12411615277,1985
125,"Arabidopsis thaliana (L.) Heynh.",11.178384,43.158398,1784.12411615277,1985
126,"Oxalis pes-caprae L.",10.126723,42.749261,564.189583547756,2005
127,"Arbutus unedo L.",10.315546,42.329557,1784.12411615277,1965
128,"Sorghum bicolor (L.) Moench",11.178384,43.158398,1784.12411615277,1985
129,"Arbutus unedo L.",10.577532,43.328937,564.189583547756,2017
130,"Calluna vulgaris (L.) Hull",11.341209,43.636776,1784.12411615277,2002
131,"Arbutus unedo L.",10.294157,42.334467,1784.12411615277,1974
132,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.628739,43.513971,1784.12411615277,2004
133,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.180278,44.019122,1784.12411615277,1983
134,"Arbutus unedo L.",10.294157,42.334467,1784.12411615277,1974
135,"Spiranthes spiralis (L.) Chevall.",11.520037,44.037359,1784.12411615277,1999
136,"Arbutus unedo L.",10.294157,42.334467,1784.12411615277,1965
137,"Spiranthes spiralis (L.) Chevall.",11.076548,43.91797,1784.12411615277,1999
138,"Arbutus unedo L.",11.030505,43.735948,1784.12411615277,1902
139,"Leersia oryzoides (L.) Sw.",11.237356,43.203652,3989.42280401433,2001
140,"Euphorbia dendroides L.",10.492546,42.988332,564.189583547756,2014
141,"Arbutus unedo L.",10.41183,42.86061,564.189583547756,2005
142,"Arbutus unedo L.",10.38782,42.802856,564.189583547756,2005
143,"Arbutus unedo L.",10.379829,42.822673,564.189583547756,2005
144,"Arbutus unedo L.",10.248538,42.773446,564.189583547756,2005
145,"Arbutus unedo L.",10.385661,42.799667,564.189583547756,2005
146,"Arbutus unedo L.",10.425036,42.852671,564.189583547756,2005
147,"Arbutus unedo L.",10.37839,42.82046,564.189583547756,2005
148,"Arbutus unedo L.",10.27309,42.77419,564.189583547756,2005
149,"Arbutus unedo L.",10.2041,42.79311,564.189583547756,2005
150,"Arbutus unedo L.",10.18253,42.77689,564.189583547756,2005
151,"Arbutus unedo L.",10.30901,42.78044,564.189583547756,2005
152,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.129328,42.741297,564.189583547756,2005
153,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.11582,42.75274,564.189583547756,2005
154,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.377605,42.825328,564.189583547756,2005
155,"Smilax aspera L.",10.36415,42.76859,564.189583547756,2005
156,"Smilax aspera L.",10.27416,42.79867,564.189583547756,2005
157,"Smilax aspera L.",10.2041,42.79311,564.189583547756,2005
158,"Euphorbia dendroides L.",11.081389,42.418528,1784.12411615277,1870
159,"Arbutus unedo L.",10.294157,42.334467,1784.12411615277,1974
160,"Arbutus unedo L.",10.512329,43.779295,1784.12411615277,1980
161,"Calluna vulgaris (L.) Hull",10.296885,44.141195,1784.12411615277,1996
162,"Arbutus unedo L.",11.160478,42.414856,1784.12411615277,2015
163,"Helianthus tuberosus L.",11.36271,43.07674,1784.12411615277,1999
164,"Helianthus tuberosus L.",11.341209,43.636776,1784.12411615277,2002
165,"Helianthus tuberosus L.",11.825194,43.497355,1784.12411615277,2004
166,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.160478,42.414856,1784.12411615277,2015
167,"Arabidopsis thaliana (L.) Heynh.",10.612357,43.437168,1784.12411615277,2009
168,"Helianthus tuberosus L.",11.178384,43.158398,1784.12411615277,1985
169,"Artemisia verlotiorum Lamotte",11.23397,43.87897,3989.42280401433,2016
170,"Colchicum longifolium Castagne",11.194047,42.957217,1784.12411615277,2008
171,"Calluna vulgaris (L.) Hull",10.426059,44.2247,1784.12411615277,2005
172,"Calluna vulgaris (L.) Hull",10.427352,44.225863,1784.12411615277,2005
173,"Calluna vulgaris (L.) Hull",10.439192,44.226189,1784.12411615277,2005
174,"Calluna vulgaris (L.) Hull",10.401392,44.228804,1784.12411615277,2005
175,"Calluna vulgaris (L.) Hull",10.438437,44.225544,1784.12411615277,2005
176,"Calluna vulgaris (L.) Hull",10.427919,44.226513,1784.12411615277,2005
177,"Artemisia verlotiorum Lamotte",11.26268,43.88151,3989.42280401433,2016
178,"Artemisia verlotiorum Lamotte",11.189327,43.969887,3989.42280401433,2016
179,"Arabidopsis thaliana (L.) Heynh.",11.040332,44.065715,1784.12411615277,2006
180,"Arbutus unedo L.",10.180278,44.019122,1784.12411615277,1983
181,"Prospero autumnale (L.) Speta",10.630269,43.406129,1784.12411615277,2009
182,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.618118,43.073068,1784.12411615277,2005
183,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.384697,43.517546,1784.12411615277,2011
184,"Delairea odorata Lem.",10.265283,43.961102,1784.12411615277,2011
185,"Sternbergia colchiciflora Waldst. & Kit.",11.700745,42.772895,1784.12411615277,2006
186,"Arbutus unedo L.",10.850777,43.559127,1784.12411615277,1928
187,"Arbutus unedo L.",10.4512,43.75822,1784.12411615277,2015
188,"Arbutus unedo L.",10.475286,43.784231,1784.12411615277,1978
189,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.60391,43.330575,564.189583547756,2017
190,"Arbutus unedo L.",10.563737,43.296064,1784.12411615277,1993
191,"Colchicum lusitanum Brot.",12.130727,43.569459,1784.12411615277,1954
192,"Calluna vulgaris (L.) Hull",11.07018,43.960612,564.189583547756,1907
193,"Euphorbia dendroides L.",10.392224,43.785146,1784.12411615277,2009
194,"Calluna vulgaris (L.) Hull",10.783828,43.988652,1784.12411615277,1961
195,"Calluna vulgaris (L.) Hull",10.800414,43.986415,1784.12411615277,1961
196,"Artemisia verlotiorum Lamotte",10.055378,44.05537,1784.12411615277,1934
197,"Smilax aspera L.",11.533203,42.588773,1784.12411615277,1996
198,"Euphorbia dendroides L.",10.446342,43.76122,1784.12411615277,2005
199,"Arbutus unedo L.",10.600192,43.538808,1784.12411615277,1908
200,"Arbutus unedo L.",10.389025,42.832324,1784.12411615277,1972
201,"Arbutus unedo L.",10.824029,43.548386,1784.12411615277,1928
202,"Colchicum lusitanum Brot.",10.622481,43.403106,1784.12411615277,2009
203,"Arbutus unedo L.",11.473733,43.669253,1784.12411615277,1966
204,"Calluna vulgaris (L.) Hull",11.618415,43.959033,1784.12411615277,1953
205,"Smilax aspera L.",10.60391,43.330575,564.189583547756,2017
206,"Arbutus unedo L.",10.15852,44.023897,1784.12411615277,1942
207,"Arbutus unedo L.",10.149156,44.032575,1784.12411615277,1942
208,"Arbutus unedo L.",10.159582,44.031246,1784.12411615277,1942
209,"Arbutus unedo L.",10.150391,44.034488,1784.12411615277,1942
210,"Arbutus unedo L.",10.155844,44.040749,1784.12411615277,1942
211,"Arbutus unedo L.",10.1770305633545,44.0577387977914,1784.12411615277,1942
212,"Arbutus unedo L.",10.104969,44.058867,1784.12411615277,1942
213,"Arbutus unedo L.",10.140666,44.067124,1784.12411615277,1942
214,"Arbutus unedo L.",10.102548,44.039949,1784.12411615277,1942
215,"Arbutus unedo L.",10.140428,44.031108,1784.12411615277,1942
216,"Arbutus unedo L.",10.11325,44.004153,1784.12411615277,1942
217,"Arbutus unedo L.",10.096601,44.078113,1784.12411615277,1942
218,"Arbutus unedo L.",10.067034,44.075569,1784.12411615277,1942
219,"Arbutus unedo L.",10.079073,44.103244,1784.12411615277,1942
220,"Arbutus unedo L.",10.0674247741699,44.1080493585569,1784.12411615277,1942
221,"Arbutus unedo L.",10.118288,44.078124,1784.12411615277,1942
222,"Calluna vulgaris (L.) Hull",10.139866,44.035236,3989.42280401433,1942
223,"Calluna vulgaris (L.) Hull",10.2202033996582,44.1016396072735,1784.12411615277,1942
224,"Calluna vulgaris (L.) Hull",10.178859,44.058398,1784.12411615277,1942
225,"Calluna vulgaris (L.) Hull",10.0300884246826,44.1259190324507,1784.12411615277,1942
226,"Calluna vulgaris (L.) Hull",9.991193,44.410382,1784.12411615277,1942
227,"Calluna vulgaris (L.) Hull",9.773349,44.342011,1784.12411615277,1942
228,"Hieracium sabaudum L.",11.076548,43.91797,1784.12411615277,1936
229,"Smilax aspera L.",11.378271,43.148646,1784.12411615277,2018
230,"Arbutus unedo L.",10.495083,43.837609,3989.42280401433,1860
231,"Arbutus unedo L.",10.536313,43.756417,3989.42280401433,1860
232,"Arbutus unedo L.",10.896806,43.207298,3989.42280401433,1860
233,"Arbutus unedo L.",11.114232,42.762365,3989.42280401433,1860
234,"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1860
235,"Arbutus unedo L.",11.100882,42.252801,1784.12411615277,1860
236,"Arabidopsis thaliana (L.) Heynh.",9.89873,43.43402,1784.12411615277,1995
237,"Arbutus unedo L.",9.898993,43.430803,1784.12411615277,1860
238,"Arbutus unedo L.",9.818082,43.037775,1784.12411615277,1860
239,"Arbutus unedo L.",10.310407,42.337112,1784.12411615277,1860
240,"Arbutus unedo L.",10.632769,43.323019,564.189583547756,2017
241,"Arbutus unedo L.",10.521417,43.917917,1784.12411615277,1860
242,"Arbutus unedo L.",10.54391,43.850183,1784.12411615277,1860
243,"Arbutus unedo L.",11.247864,43.803531,1784.12411615277,1860
244,"Arbutus unedo L.",11.502356,43.868097,1784.12411615277,1860
245,"Arbutus unedo L.",11.218123,43.705315,1784.12411615277,1860
246,"Arbutus unedo L.",11.31351,43.604336,1784.12411615277,1860
247,"Arbutus unedo L.",11.333635,43.318519,1784.12411615277,1860
248,"Arbutus unedo L.",11.491205,43.058653,1784.12411615277,1860
249,"Calluna vulgaris (L.) Hull",10.40623,44.2285,1784.12411615277,2014
250,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.632769,43.323019,564.189583547756,2017
251,"Prospero autumnale (L.) Speta",11.149001,43.924799,3989.42280401433,2009
252,"Helianthus tuberosus L.",10.631592,43.626298,1784.12411615277,2014
253,"Helianthus tuberosus L.",10.62078,43.710096,1784.12411615277,2014
254,"Artemisia verlotiorum Lamotte",11.255868,43.783279,3989.42280401433,1918
255,"Arbutus unedo L.",10.32829,42.78717,564.189583547756,2005
256,"Arbutus unedo L.",10.27416,42.79867,564.189583547756,2005
257,"Arbutus unedo L.",10.33301,42.78511,564.189583547756,2005
258,"Arbutus unedo L.",10.163184,42.763311,564.189583547756,2005
259,"Arbutus unedo L.",10.18142,42.77167,564.189583547756,2005
260,"Arbutus unedo L.",10.28211,42.77621,564.189583547756,2005
261,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.409181,42.720252,564.189583547756,2005
262,"Smilax aspera L.",10.379829,42.822673,564.189583547756,2005
263,"Smilax aspera L.",10.27309,42.77419,564.189583547756,2005
264,"Smilax aspera L.",10.32829,42.78717,564.189583547756,2005
265,"Smilax aspera L.",10.175894,42.787722,564.189583547756,2005
266,"Smilax aspera L.",10.417764,42.797868,564.189583547756,2005
267,"Smilax aspera L.",10.248538,42.773446,564.189583547756,2005
268,"Smilax aspera L.",10.425036,42.852671,564.189583547756,2005
269,"Smilax aspera L.",10.28211,42.77621,564.189583547756,2005
270,"Smilax aspera L.",10.377605,42.825328,564.189583547756,2005
271,"Smilax aspera L.",10.375956,42.825839,564.189583547756,2005
272,"Smilax aspera L.",10.267646,42.826827,564.189583547756,2005
273,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.341209,43.636776,1784.12411615277,2002
274,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.222879,43.137808,1784.12411615277,2006
275,"Arbutus unedo L.",11.533203,42.588773,1784.12411615277,1996
276,"Calluna vulgaris (L.) Hull",10.624895,44.134687,1784.12411615277,2006
277,"Calluna vulgaris (L.) Hull",10.384793,44.210254,1784.12411615277,2005
278,"Calluna vulgaris (L.) Hull",10.507115,44.170235,1784.12411615277,2005
279,"Calluna vulgaris (L.) Hull",10.500204,44.171955,1784.12411615277,2005
280,"Calluna vulgaris (L.) Hull",10.484006,44.170519,1784.12411615277,2005
281,"Oxalis pes-caprae L.",10.17717,42.738313,1784.12411615277,2014
282,"Arbutus unedo L.",10.1959562301636,44.0814813420087,1784.12411615277,2017
283,"Smilax aspera L.",10.632769,43.323019,564.189583547756,2017
284,"Dittrichia viscosa (L.) Greuter subsp. viscosa",9.818082,43.037775,1784.12411615277,1860
285,"Spiranthes spiralis (L.) Chevall.",10.075458,42.580947,1784.12411615277,1901
286,"Arabidopsis thaliana (L.) Heynh.",10.372224,43.920832,1784.12411615277,2012
287,"Arabidopsis thaliana (L.) Heynh.",10.530856,43.927789,1784.12411615277,2012
288,"Arabidopsis thaliana (L.) Heynh.",10.593615,44.010372,1784.12411615277,2012
289,"Arbutus unedo L.",10.1950120925903,44.0841941691964,1784.12411615277,2017
290,"Smilax aspera L.",10.3369452949846,43.598584036406,564.189583547756,1984
291,"Arbutus unedo L.",10.180278,44.019122,1784.12411615277,1942
292,"Arbutus unedo L.",10.1586,44.02176,1784.12411615277,1942
293,"Arbutus unedo L.",10.350767,43.50137,3989.42280401433,1860
294,"Arbutus unedo L.",10.89145,43.051672,1784.12411615277,1860
295,"Arbutus unedo L.",10.685166,43.903454,3989.42280401433,1908
296,"Arbutus unedo L.",10.923233,43.86874,1784.12411615277,1908
297,"Arbutus unedo L.",10.542336,44.017598,1784.12411615277,1955
298,"Helianthus tuberosus L.",10.2438068389893,43.8764274109488,1784.12411615277,1961
299,"Arbutus unedo L.",10.299562,42.788806,1784.12411615277,1972
300,"Arbutus unedo L.",9.898993,43.430803,1784.12411615277,1899
301,"Arbutus unedo L.",10.536313,43.756417,3989.42280401433,1842
302,"Arbutus unedo L.",10.505467,42.950071,1784.12411615277,1950
303,"Arbutus unedo L.",10.714243,43.74729,1784.12411615277,1950
304,"Arbutus unedo L.",10.776039,43.7863,1784.12411615277,1950
305,"Arbutus unedo L.",10.731269,43.761504,1784.12411615277,1950
306,"Salicornia perennans Willd. subsp. perennans",11.145667,42.411119,1784.12411615277,1902
307,"Salicornia perennans Willd. subsp. perennans",11.145667,42.411119,1784.12411615277,1994
308,"Calluna vulgaris (L.) Hull",10.201523,44.03527,1784.12411615277,1942
309,"Calluna vulgaris (L.) Hull",10.117077,44.110457,1784.12411615277,1942
310,"Calluna vulgaris (L.) Hull",9.887289,44.316571,1784.12411615277,1942
311,"Arbutus unedo L.",11.617852,43.004415,1784.12411615277,1860
312,"Arbutus unedo L.",11.334114,43.496176,3989.42280401433,1860
313,"Arbutus unedo L.",10.065102,44.071055,1784.12411615277,1942
314,"Arbutus unedo L.",10.11892,44.05879,1784.12411615277,1942
315,"Arbutus unedo L.",10.147764,44.044318,1784.12411615277,1942
316,"Calluna vulgaris (L.) Hull",9.867101,44.375487,1784.12411615277,1942
317,"Arbutus unedo L.",10.09822,44.07992,1784.12411615277,1942
318,"Arbutus unedo L.",10.129286,44.050513,1784.12411615277,1942
319,"Arbutus unedo L.",10.159684,44.046586,1784.12411615277,1942
320,"Arbutus unedo L.",10.294215,42.78222,3989.42280401433,1972
321,"Arbutus unedo L.",10.669549,43.711878,1784.12411615277,1951
322,"Ceratonia siliqua L.",11.145667,42.411119,1784.12411615277,1965
323,"Ceratonia siliqua L.",11.145667,42.411119,1784.12411615277,1869
324,"Ceratonia siliqua L.",11.145667,42.411119,1784.12411615277,1872
325,"Arbutus unedo L.",11.117361,42.437842,1784.12411615277,1966
326,"Ceratonia siliqua L.",11.145667,42.411119,1784.12411615277,1911
327,"Smilax aspera L.",10.598124,43.524246,1784.12411615277,2014
328,"Sternbergia lutea (L.) Ker Gawl. ex Spreng.",11.358476,43.751276,1784.12411615277,1914
329,"Tradescantia fluminensis Vell.",10.360477,43.834615,1784.12411615277,2014
330,"Callitriche brutia Petagna",10.261707,43.821793,1784.12411615277,1990
331,"Oxalis pes-caprae L.",10.075458,42.580947,1784.12411615277,1974
332,"Oxalis pes-caprae L.",11.333635,43.318519,3989.42280401433,1994
333,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.89145,43.051672,3989.42280401433,1994
334,"Smilax aspera L.",10.276603,43.818501,564.189583547756,2006
335,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.892889,43.459435,3989.42280401433,1994
336,"Arbutus unedo L.",10.271825,43.811815,564.189583547756,2006
337,"Smilax aspera L.",10.271825,43.811815,564.189583547756,2006
338,"Smilax aspera L.",10.3395638460643,43.600103771131,564.189583547756,1984
339,"Ranunculus bullatus L.",10.075458,42.580947,1784.12411615277,1901
340,"Ranunculus bullatus L.",10.075458,42.580947,1784.12411615277,1999
341,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.337718486262,43.6001348491541,564.189583547756,1984
342,"Smilax aspera L.",10.3444261553523,43.6018379003708,564.189583547756,1984
343,"Calluna vulgaris (L.) Hull",10.650018,44.121343,1784.12411615277,2005
344,"Artemisia verlotiorum Lamotte",10.960139,43.721535,1784.12411615277,2012
345,"Smilax aspera L.",10.075458,42.580947,1784.12411615277,1974
346,"Tagetes minuta L.",10.671749,43.409219,1784.12411615277,1968
347,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.79625,43.35415,564.189583547756,2016
348,"Oxalis pes-caprae L.",10.075458,42.580947,564.189583547756,2015
349,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.100882,42.252801,1784.12411615277,1882
350,"Oxalis pes-caprae L.",10.301133,42.329475,564.189583547756,1957
351,"Oxalis pes-caprae L.",10.294157,42.334467,564.189583547756,1965
352,"Oxalis pes-caprae L.",10.296201,42.33362,564.189583547756,1974
353,"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.684195,43.075826,3989.42280401433,1994
354,"Arbutus unedo L.",11.262994,43.132698,1784.12411615277,2016
355,"Calluna vulgaris (L.) Hull",11.262994,43.132698,1784.12411615277,2016
356,"Smilax aspera L.",10.3414220812556,43.6091840873685,564.189583547756,1984
357,"Smilax aspera L.",10.3447694781062,43.6078044144719,564.189583547756,1984
