"","x","y","ndvi","ignorance","distances","INTERSECTION","try"
"553",4350663.99448768,2294895.61247659,0.38588911450075,7.67078113555908,2717.42319433037,FALSE,"47"
"554",4368219.46682375,2284259.2100564,0.126687676870371,11.2715768814087,2717.42319433037,FALSE,"47"
"555",4349909.28227874,2281640.26430409,0.041555062200226,10.4155321121216,2717.42319433037,FALSE,"47"
"556",4346315.32334048,2300011.70347113,0.448522725711687,7.76528215408325,2717.42319433037,FALSE,"47"
"557",4342550.70022276,2297974.77756935,0.258561901711216,1.44336533546448,2717.42319433037,FALSE,"47"
"558",4359950.00180074,2285394.1781043,0.184117710216295,12.3899478912354,2717.42319433037,FALSE,"47"
"559",4353736.8615151,2301756.9836384,0.557008587733319,8.41759490966797,2717.42319433037,FALSE,"47"
"560",4344592.929669,2295804.21664272,0.408747578297358,10.5919103622437,2717.42319433037,FALSE,"47"
"561",4353394.54921265,2296660.81263883,0.143887403372622,10.7565851211548,2717.42319433037,FALSE,"47"
"562",4359490.16651691,2288072.41265879,0.603909767107644,11.6027212142944,2717.42319433037,FALSE,"47"
"563",4348055.47598002,2297747.27431998,0.200085122595505,10.6110210418701,2717.42319433037,FALSE,"47"
"564",4364749.13992421,2284500.15178212,0.108090542831944,11.2715768814087,2717.42319433037,FALSE,"47"
